id	pt_category	en_category	es_category	proposal_id	pt	en	es	candidate_ids	start_date	source_link	source_text	pt_multichoice	en_multichoice	es_multichoice
1	Trabalho	Employment	Trabajo	1	Manter a atual reforma trabalhista	Maintain current labor legislation	Mantener la legislación laboral vigente	Bolsonaro	2022_10_7_1	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/5_1660093698051.pdf	A nova legislação trabalhista aprovada será mantida com segurança jurídica, ajudando a combater abusos empresariais e de sindicatos que também não podem ter a capacidade de agir como monopólios.			
2	Trabalho	Employment	Trabajo	2	Redigir nova legislação trabalhista para incluir proteção e práticas modernas de trabalho	Write a new labour legislation to include modern labour regulations and social protection	Redactar una nueva legislación laboral que incluya normas laborales modernas y protección social	Lula;Ciro;d'Avila	2022_9_27_1	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/5_1659989903215.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/892517/5_1659557501045.pdf	a partir de um amplo debate e negociação, uma nova legislação trabalhista de extensa proteção social a todas as formas de ocupação, de emprego e de relação de trabalho, com especial atenção aos autônomos, aos que trabalham por conta própria, trabalhadores e trabalhadoras domésticas, teletrabalho e trabalhadores em home office, mediados por aplicativos e plataformas, revogando os marcos regressivos da atual legislação trabalhista, agravados pela última reforma e reestabelecendo o acesso gratuito à justiça do trabalho; Vamos redigir um novo Código Brasileiro do Trabalho (CBT) que abranja as melhores e mais modernas práticas de proteção internacionais e as Convenções da Organização Internacional do Trabalho (OIT).; Também são necessárias leis trabalhistas mais atuais e flexíveis que permitam adaptar os contratos a uma sociedade mais moderna, com novas formas de estabelecer relações de trabalho para além do que define nossa CLT e que   objetivem a redução da informalidade que assola o mercado brasileiro.			
3	Trabalho	Employment	Trabajo	3	Regulamentação e proteção dos direitos trabalhistas de trabalhadores por aplicativo	Regulation and protection of workers' labor rights by application	Regulación y protección de los derechos laborales de los trabajadores por aplicación	Bolsonaro;Lula;Ciro	2022_9_30_2	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/5_1660093698051.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/5_1659989903215.pdf	A estratégia de inclusão e combate à informalidade deverá contemplar alternativas contratuais inteligentes e que reconheçam a realidade desses trabalhadores nas regiões em que vivem, incluindo dos trabalhadores por aplicativos e trabalhadores rurais, dentre outros.; a partir de um amplo debate e negociação, uma nova legislação trabalhista de extensa proteção social a todas as formas de ocupação, de emprego e de relação de trabalho, com especial atenção aos autônomos, aos que trabalham por conta própria, trabalhadores e trabalhadoras domésticas, teletrabalho e trabalhadores em home office, mediados por aplicativos e plataforma; Também regulamentaremos e asseguraremos direitos para trabalhadores intermediados por aplicativos, estabelecendo patamares de higiene, segurança e de ganhos compatíveis com o Princípio da Dignidade de Pessoa Humana, conforme garante nossa Constituição.			
4	Trabalho	Employment	Trabajo	4	Recuperação do poder de compra através de uma política de valorização do salário mínimo	Valorize the minimum salary to recuperate the purchasing power	Valorizar el salario mínimo para recuperar el poder adquisitivo	Lula;Simone	2022_10_5_1	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607833/pje-c6a5300b-Proposta%20de%20governo.pdf	Política de valorização do salário mínimo visando à recuperação do poder de compra de trabalhadores, trabalhadoras, e dos beneficiários e beneficiárias de políticas previdenciárias e assistenciais, essencial para dinamizar a economia, em especial dos pequenos municípios.; Preservar o poder de compra do salário mínimo com reajustes anuais baseados pelo menos na inflação.			
5	Trabalho	Employment	Trabajo	5	Política igualitária de salários entre homens e mulheres que exercem a mesma função	Equal pay policy between men and women performing the same function	Política de igualdad de remuneración entre hombres y mujeres que realizan la misma función	Bolsonaro;Lula;Ciro;Simone	2022_9_28_1	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/5_1660093698051.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/5_1659989903215.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607833/pje-c6a5300b-Proposta%20de%20governo.pdf	implementação das políticas públicas voltadas para a (...) igualdade de salários entre homens e mulheres que desempenham a mesma ocupação laboral; O Estado brasileiro deve assegurar a proteção integral da dignidade humana das mulheres, (...) salários iguais para trabalhos iguais em todas as profissões; Em relação às mulheres, precisamos fortalecer programas, criar e fazer cumprir leis (...) incluindo acesso a (...) salários equivalentes; Incentivar políticas de igualdade salarial entre homens e mulheres			
6	Trabalho	Employment	Trabajo	6	Criação de políticas para prover trabalho híbrido e home office para mulheres com filhos	Creation of policies to provide hybrid work and home office for women with children	Creación de políticas para brindar trabajo híbrido y home office a mujeres con hijos	Bolsonaro	2022_10_22_2	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/5_1660093698051.pdf	implementação das políticas públicas voltadas para(...)a possibilidade de equilibrar, até mesmo por meio do trabalho híbrido ou home office, a difícil tarefa de cuidar dos filhos e prover sustento, devem ser objeto de política pública robusta, tempestiva e calcada na realidade e necessidades			
7	Trabalho	Employment	Trabajo	7	Criação de políticas que garantam a inclusão e permanência da população LGBTQIA+ no mercado de trabalho	Creation of policies that guarantee the inclusion and permanence of the LGBTQIA+ population in the labor market	Creación de políticas que garanticen la inclusión y permanencia de la población LGBTQIA+ en el mercado laboral	Lula;Ciro	2022_9_24_2	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/5_1659989903215.pdf	Políticas que garantam o direito desta população (LGBTQIA+) (...) a inclusão e permanência na (...) no mercado de trabalho.;Em relação à população LGBTQIA+, criaremos o Comitê Nacional de Políticas Públicas LGBTI+ (...) que efetivamente implemente o Plano Nacional de Promoção da Cidadania e Direitos Humanos LGBTI+, incluindo o amparo à seguridade de trabalho, emprego e renda.			
8	Segurança	Security	Seguridad	8	Expansão e melhoria dos programas de qualificação dos policiais e reestruturação de suas carreiras	Expand, redesign, and improve the qualification programs of the police	Ampliar, rediseñar y mejorar los programas de calificación de los policías	Lula;Ciro;Soraya	2022_9_29_1	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/882713/5_1659989903215.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/913738/5_1660315476677.pdf	melhoria da qualificação técnica dos policiais será uma busca permanente a ser alcançada dentre outras estratégias, pela reformulação dos processos de seleção, formação e capacitação continuada, pela atualização de doutrinas e pela padronização de procedimentos operacionais.; Certamente precisamos de profissionais qualificados e estimulados para o desempenho de suas atividades e portanto é necessário reestruturar as carreiras policiais valorizando e reconhecendo o desempenho do profissional que atua diretamente no combate ao crime e em contato com a população. Os programas de qualificação devem ser aprimorados e disseminados.;Apresentar projeto de reestruturação das  nossas polícias visando sua profissionalização e adequação às condições necessárias para atuar efetivamente em novas situações de segurança pública.			
9	Segurança	Security	Seguridad	9	Implementar diretrizes nacionais de promoção e defesa dos direitos humanos dos policiais	Implement national guidelines for the promotion and defense of police human rights	Implementar lineamientos nacionales para la promoción y defensa de los derechos humanos policiales	Lula	2022_10_7_2	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/280001607829/pje-3b1196fd-Proposta%20de%20governo.pdf	Será aberto diálogo sobre a modernização das carreiras, a qualificação e a autonomia dos peritos, a padronização de escalas e jornadas de trabalho e outras estratégias de implementação das diretrizes nacionais de promoção e defesa dos direitos humanos dos policiais.			
10	Trabalho	Employment	Trabajo	10	Aperfeiçoar os planos de cargos e salários do servidor público com incentivos ao cumprimento de metas	Improve public job positions and salary plans with incentives related to goals	Mejorar los puestos de trabajo públicos y los planes salariales con incentivos afines a las metas	Bolsonaro;d'Avila	2022_10_5_2	https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/908966/5_1660093698051.pdf;https://divulgacandcontas.tse.jus.br/candidaturas/oficial/2022/BR/BR/544/candidatos/892517/5_1659557501045.pdf	O aperfeiçoamento dos seus planos de cargos e salários será um dos meios de incentivar o servidor assim como o reconhecimento de seus talentos suas potencialidades e a realização de suas promoções por mérito, fruto de avaliações que incentivem o cumprimento de metas.;Além disso, é necessário que o governo tenha um papel ativo e contínuo na gestão de pessoas que estão sob sua alçada e que sejam implementadas ferramentas de análise de performance periódicas para que os bons servidores sejam valorizados.			
